spamorham,label,sms
ham,0,আমি বললাম না 
ham,0,সকালে উঠে দেখি দরজা খোলা 
ham,0,কাল দেখা হবে 
spam,1,আপনার মোবাইল নম্বর জিতলেন সুপার প্রাইজ! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,মোবাইল এক্সেসরিজে মেঘা ছাড়! যোগাযোগ করুন: ০১৭৮৯০১২৩৪৫
spam,1,আপনার সিম একটি ভালো খবর নিউজ পেতে কল করুন: ০১৭৮৯০১২৩৪৫
ham ,0,আমি ভাবলাম তাহলে কি 
ham,0,কবে যাব?
spam,1,পাশবর্ধন করুন আপনার মোবাইল ডাটা প্ল্যান! যোগাযোগ করুন: ০১৭৮৯০১২৩৪৫
spam,1,আপনার মোবাইল নম্বর জিতলেন সুপার প্রাইজ! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,প্রেমের ম্যাসেজ পেতে কল করুন: ০১৭৮৯০১২৩৪৫
spam,1,বিশেষ ছাড়ে কেনার অফার! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,আপনি জিতলেন ফ্রী ট্যাবলেট! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,মোবাইল প্যাকেজে মুক্ত টক! যোগাযোগ করুন: ০১৭৮৯০১২৩৪৫
spam,1,স্পেশাল ডিসকাউন্ট অফার! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,ক্যাশব্যাকের অফার পেতে কল করুন: ০১৭৮৯০১২৩৪৫
spam,1,নিজেকে পরিচিত করুন নিজের প্রাইভেসি সুরক্ষার জন্য! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,মোবাইল সার্ভিসে বিশেষ ছাড়! যোগাযোগ করুন: ০১৭৮৯০১২৩৪৫
spam,1,এই ঈদে বিশেষ অফার! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,"স্যার, আমি কোম্পানির পক্ষ থেকে আপনাকে জিতানো পারে একটি ট্যাবলেট! যোগাযোগ করুন: ০১৭৮৯০১২৩৪৫"
spam,1,ক্রেডিট কার্ডে সুবিধাজনক অফার! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,বিশেষ প্রয়োজনে কল করুন: ০১৭৮৯০১২৩৪৫
ham,0,আমারা অনেকেই এখন পর্যন্ত খাই নি 
spam,1,হাজির হোন আমাদের স্টোরে! এক দামে বিশেষ ছাড়! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,ফ্রী হোম ডেলিভারি সার্ভিস! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,আপনার মোবাইলে ডাটা ডাউনলোড স্পিড বাড়াতে যোগাযোগ করুন: ০১৭৮৯০১২৩৪৫
spam,1,ভিপি-ইসিসি বাংলাদেশ থেকে আপনার ব্যাংক একাউন্টে অগ্রিম প্রদান! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,এখনি যোগাযোগ করুন আমাদের কাস্টমার কেয়ার হটলাইনে: ০১৭৮৯০১২৩৪৫
spam,1,মোবাইল প্রেমের ম্যাসেজ সার্ভিস! কল করুন: ০১৭৮৯০১২৩৪৫
spam,1,বিশেষ প্রতিদিনের অফার! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
spam,1,নিজেকে সুরক্ষা করুন নিজের ডাটা প্ল্যানে! যোগাযোগ করুন: ০১৭৮৯০১২৩৪৫
spam,1,স্মার্টফোনে সস্তা কিনতে কল করুন: ০১৭৮৯০১২৩৪৫
spam,1,আপনার ব্যাংক একাউন্টে অতিরিক্ত ব্যালেন্স! যোগাযোগ করুন: ০১৭২৩৪৫৬৭৮৯
